nb_mentions_global_g,nb_candidats_g,pourcent_mention_par_candidat_g,taux_de_reussite_g,note_a_l_ecrit_g,nb_mentions_b_g,pourcent_mentions_b_g,secteur,code_departement
23,35,65.7142857142857,100.0,11.5,7,30.4347826086957,0,72
23,36,63.8888888888889,86.0,10.1,8,34.7826086956522,0,49
23,37,62.1621621621622,84.0,11.6,9,39.1304347826087,0,80
23,38,60.5263157894737,76.0,11.0,12,52.1739130434783,0,80
23,38,60.5263157894737,95.0,9.8,6,26.0869565217391,0,87
23,39,58.974358974359,87.0,10.1,5,21.7391304347826,0,30
23,39,58.974358974359,90.0,11.7,10,43.4782608695652,1,10
23,40,57.5,88.0,9.3,8,34.7826086956522,0,36
23,41,56.0975609756098,83.0,8.1,6,26.0869565217391,1,41
23,41,56.0975609756098,88.0,9.2,7,30.4347826086957,1,44
23,42,54.7619047619048,79.0,10.8,9,39.1304347826087,0,27
23,42,54.7619047619048,90.0,9.1,9,39.1304347826087,0,55
23,42,54.7619047619048,90.0,9.7,8,34.7826086956522,1,45
23,43,53.4883720930233,77.0,10.2,7,30.4347826086957,0,2
23,46,50,67.0,9.5,11,47.8260869565217,1,42
23,48,47.9166666666667,79.0,8.4,10,43.4782608695652,0,971
23,51,45.0980392156863,73.0,8.4,6,26.0869565217391,0,18
23,54,42.5925925925926,69.0,9.6,7,30.4347826086957,0,17
23,62,37.0967741935484,84.0,6.1,7,30.4347826086957,0,971
24,30,80,93.0,11.1,7,29.1666666666667,0,24
24,31,77.4193548387097,90.0,12.7,2,8.33333333333333,0,50
24,31,77.4193548387097,97.0,10.5,7,29.1666666666667,1,87
24,31,77.4193548387097,100.0,9.4,4,16.6666666666667,1,55
24,31,77.4193548387097,100.0,10.0,8,33.3333333333333,1,83
24,32,75,94.0,11.9,8,33.3333333333333,1,80
24,32,75,97.0,12.9,6,25,0,12
24,33,72.7272727272727,91.0,10.9,10,41.6666666666667,0,23
24,34,70.5882352941177,94.0,11.0,10,41.6666666666667,1,61
24,35,68.5714285714286,80.0,10.6,7,29.1666666666667,0,24
24,35,68.5714285714286,91.0,10.7,7,29.1666666666667,0,33
24,35,68.5714285714286,94.0,11.6,5,20.8333333333333,1,16
24,35,68.5714285714286,97.0,9.3,4,16.6666666666667,0,972
24,36,66.6666666666667,94.0,10.0,7,29.1666666666667,0,972
24,36,66.6666666666667,94.0,11.4,8,33.3333333333333,0,2
24,36,66.6666666666667,100.0,11.3,10,41.6666666666667,1,25
